Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
SAIL,2023,1.0,0.274,0.362,0.65,0.0,-0.05,0.5,1.8,1.0,0.0,0.0,0.0,0.0,-0.51,0.051,3.9,0.76,4.0,0.018,0.0,0.0,1.0,1.0
SAIL,2024,1.0,0.125,0.348,0.65,0.0,0.0,0.5,1.2,1.0,0.0,0.0,0.0,0.0,1.2,0.071,3.5,0.84,4.0,0.011,0.0,0.0,1.0,1.0
Jindal Steel and Power,2020,1.0,-0.245,0.685,0.6048,0.456,-0.05,0.5,4.5,1.0,0.0,0.0,0.0,0.0,-1.05,0.065,5.5,0.65,50.0,0.0,0.0,0.0,1.0,1.0
Jindal Steel and Power,2021,1.0,-0.042,0.524,0.6048,0.365,0.0,0.5,5.2,1.0,0.0,0.0,0.0,0.0,10.58,0.173,2.6,0.72,65.0,0.0,0.0,0.0,1.0,0.0
Jindal Steel and Power,2022,1.0,0.456,0.441,0.604,0.165,0.05,0.55,3.1,1.0,0.0,0.0,0.0,0.0,0.16,0.246,0.9,0.85,70.0,0.0035,0.0,0.0,1.0,0.0
Jindal Steel and Power,2023,1.0,0.784,0.325,0.612,0.135,0.05,0.6,3.5,1.0,0.0,0.0,0.0,1.0,-0.71,0.086,1.2,0.92,80.0,0.0035,0.0,0.0,1.0,0.0
Jindal Steel and Power,2024,1.0,0.345,0.284,0.612,0.114,0.0,0.6,4.2,1.0,0.0,0.0,0.0,0.0,1.17,0.143,0.9,1.05,85.0,0.0035,0.0,0.0,1.0,1.0
Hindustan Copper,2020,1.0,-0.285,0.582,0.7605,0.0,-0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-2.8,-0.045,1.0,0.65,4.0,0.0,0.0,0.0,1.0,0.0
Hindustan Copper,2021,1.0,0.152,0.465,0.7605,0.0,0.0,0.5,2.8,1.0,0.0,0.0,0.0,0.0,1.75,0.065,1.04,0.72,4.0,0.0075,0.0,0.0,1.0,0.0
Hindustan Copper,2022,1.0,0.421,0.384,0.6614,0.0,0.05,0.5,3.2,1.0,0.0,0.0,0.0,0.0,2.4,0.181,0.21,0.85,5.0,0.025,0.0,0.0,1.0,0.0
Hindustan Copper,2023,1.0,0.185,0.342,0.6614,0.0,0.05,0.5,1.5,1.0,0.0,0.0,0.0,0.0,-0.21,0.181,0.08,1.0,5.0,0.009,0.0,0.0,1.0,0.0
Hindustan Copper,2024,1.0,0.854,0.315,0.6614,0.0,1.0,0.5,2.2,1.0,0.0,0.0,0.0,0.0,0.001,0.18,0.1,1.2,5.0,0.0023,0.0,0.0,1.0,0.0
Tata Steel,2020,0.0,-0.245,0.521,0.3441,0.0155,-0.05,0.5,4.5,0.0,1.0,0.0,0.0005,285.0,-0.45,0.056,6.1,0.85,110.0,0.025,0.0,0.0,1.0,0.12
Tata Steel,2021,0.0,0.075,0.452,0.3441,0.0155,0.0,0.5,5.2,0.0,1.0,0.0,0.0008,321.0,1.5,0.135,2.8,0.92,125.0,0.02,0.0,0.0,1.0,0.15
Tata Steel,2022,0.0,0.368,0.385,0.3392,0.0155,0.05,0.5,3.1,0.0,1.0,0.0,0.0002,247.0,2.95,0.302,1.0,1.1,140.0,0.045,0.0,0.0,1.0,0.18
Tata Steel,2023,0.0,0.274,0.324,0.339,0.0155,-0.05,0.55,3.5,0.0,1.0,0.0,0.0005,196.0,-0.49,0.135,2.1,0.85,150.0,0.034,0.0,0.0,0.0,0.22
Tata Steel,2024,0.0,0.125,0.291,0.3319,0.0155,0.0,0.55,4.1,0.0,1.0,0.0,0.0012,272.0,-0.28,0.078,3.3,0.81,212.0,0.023,0.0,0.0,0.0,0.25
JSW Steel,2020,0.0,-0.125,0.552,0.427,0.512,-0.05,0.5,4.5,1.0,1.0,0.0,0.0005,48.0,-0.45,0.085,5.8,0.82,120.0,0.012,0.0,0.0,0.0,1.0
JSW Steel,2021,0.0,0.185,0.421,0.441,0.456,0.0,0.5,5.1,1.0,1.0,0.0,0.0008,52.0,1.75,0.195,3.5,0.95,135.0,0.018,0.0,0.0,0.0,1.0
